HourlyWindDirection,HourlyWindSpeed,PrevHourlyWindDirection,PrevHourlyWindSpeed,TimeOfDay,TimeOfYear
300,11,300,11,0.621527777777778,0.00170281582952816
310,11,300,11,0.635416666666667,0.00174086757990868
310,15,310,11,0.649305555555556,0.00177891933028919
310,11,310,15,0.663194444444444,0.00181697108066971
300,10,310,11,0.677083333333333,0.00185502283105023
310,9,300,10,0.690972222222222,0.00189307458143075
300,9,310,9,0.704861111111111,0.00193112633181126
310,8,300,9,0.71875,0.00196917808219178
300,10,310,8,0.732638888888889,0.0020072298325723
310,13,300,10,0.746527777777778,0.00204528158295282
320,11,310,13,0.760416666666667,0.00208333333333333
310,10,320,11,0.774305555555556,0.00212138508371385
310,13,310,10,0.788194444444444,0.00215943683409437
310,13,310,13,0.802083333333333,0.00219748858447489
320,11,310,13,0.815972222222222,0.0022355403348554
310,11,320,11,0.829861111111111,0.00227359208523592
310,14,310,11,0.84375,0.00231164383561644
300,10,310,14,0.857638888888889,0.00234969558599696
300,10,300,10,0.871527777777778,0.00238774733637747
310,11,300,10,0.885416666666667,0.00242579908675799
320,10,310,11,0.899305555555556,0.00246385083713851
320,9,320,10,0.913194444444444,0.00250190258751903
300,8,320,9,0.927083333333333,0.00253995433789954
320,7,300,8,0.940972222222222,0.00257800608828006
320,8,320,7,0.954861111111111,0.00261605783866058
310,8,320,8,0.96875,0.0026541095890411
320,8,310,8,0.982638888888889,0.00269216133942161
330,9,320,8,0.996527777777778,0.00273021308980213
,,330,9,0.999305555555556,0.00273782343987823
320,9,,,0.0104166666666667,0.00276826484018265
310,9,320,9,0.0243055555555556,0.00280631659056317
320,9,310,9,0.0381944444444444,0.00284436834094368
330,10,320,9,0.0520833333333333,0.0028824200913242
320,9,330,10,0.0659722222222222,0.00292047184170472
320,11,320,9,0.0798611111111111,0.00295852359208524
310,9,320,11,0.09375,0.00299657534246575
320,9,310,9,0.107638888888889,0.00303462709284627
310,8,320,9,0.121527777777778,0.00307267884322679
330,6,310,8,0.135416666666667,0.00311073059360731
320,8,330,6,0.149305555555556,0.00314878234398782
320,7,320,8,0.163194444444444,0.00318683409436834
320,7,320,7,0.177083333333333,0.00322488584474886
320,7,320,7,0.190972222222222,0.00326293759512938
330,6,320,7,0.204861111111111,0.00330098934550989
320,5,330,6,0.21875,0.00333904109589041
010,6,320,5,0.232638888888889,0.00337709284627093
020,8,010,6,0.246527777777778,0.00341514459665145
010,6,020,8,0.260416666666667,0.00345319634703196
340,6,010,6,0.274305555555556,0.00349124809741248
010,7,340,6,0.288194444444444,0.003529299847793
300,5,010,7,0.302083333333333,0.00356735159817352
000,0,300,5,0.315972222222222,0.00360540334855403
310,3,000,0,0.329861111111111,0.00364345509893455
320,6,310,3,0.34375,0.00368150684931507
360,6,320,6,0.357638888888889,0.00371955859969559
340,5,360,6,0.371527777777778,0.0037576103500761
010,7,340,5,0.385416666666667,0.00379566210045662
360,3,010,7,0.399305555555556,0.00383371385083714
340,6,360,3,0.413194444444444,0.00387176560121766
330,5,340,6,0.427083333333333,0.00390981735159817
300,3,330,5,0.440972222222222,0.00394786910197869
310,5,300,3,0.454861111111111,0.00398592085235921
310,3,310,5,0.46875,0.00402397260273973
300,5,310,3,0.482638888888889,0.00406202435312024
320,3,300,5,0.496527777777778,0.00410007610350076
000,0,320,3,0.510416666666667,0.00413812785388128
000,0,000,0,0.524305555555556,0.0041761796042618
000,0,000,0,0.538194444444444,0.00421423135464231
330,5,000,0,0.552083333333333,0.00425228310502283
340,5,330,5,0.565972222222222,0.00429033485540335
320,3,340,5,0.579861111111111,0.00432838660578387
320,3,320,3,0.59375,0.00436643835616438
330,6,320,3,0.607638888888889,0.0044044901065449
320,3,330,6,0.621527777777778,0.00444254185692542
310,5,320,3,0.635416666666667,0.00448059360730594
330,5,310,5,0.649305555555556,0.00451864535768645
350,5,330,5,0.663194444444444,0.00455669710806697
350,5,350,5,0.677083333333333,0.00459474885844749
340,5,350,5,0.690972222222222,0.00463280060882801
360,3,340,5,0.704861111111111,0.00467085235920852
360,3,360,3,0.71875,0.00470890410958904
000,0,360,3,0.732638888888889,0.00474695585996956
330,5,000,0,0.746527777777778,0.00478500761035008
360,3,330,5,0.760416666666667,0.00482305936073059
010,6,360,3,0.774305555555556,0.00486111111111111
010,6,010,6,0.788194444444444,0.00489916286149163
010,7,010,6,0.802083333333333,0.00493721461187215
310,3,010,7,0.815972222222222,0.00497526636225266
310,5,310,3,0.829861111111111,0.00501331811263318
000,0,310,5,0.84375,0.0050513698630137
360,3,000,0,0.857638888888889,0.00508942161339422
040,6,360,3,0.871527777777778,0.00512747336377473
010,6,040,6,0.885416666666667,0.00516552511415525
020,7,010,6,0.899305555555556,0.00520357686453577
030,7,020,7,0.913194444444444,0.00524162861491629
030,7,030,7,0.927083333333333,0.0052796803652968
050,7,030,7,0.940972222222222,0.00531773211567732
040,5,050,7,0.954861111111111,0.00535578386605784
000,0,040,5,0.96875,0.00539383561643836
000,0,000,0,0.982638888888889,0.00543188736681887
000,0,000,0,0.996527777777778,0.00546993911719939
,,000,0,0.999305555555556,0.00547754946727549
000,0,,,0.0104166666666667,0.00550799086757991
020,3,000,0,0.0243055555555556,0.00554604261796043
000,0,020,3,0.0381944444444444,0.00558409436834094
000,0,000,0,0.0520833333333333,0.00562214611872146
000,0,000,0,0.0659722222222222,0.00566019786910198
000,0,000,0,0.0798611111111111,0.0056982496194825
000,0,000,0,0.09375,0.00573630136986301
000,0,000,0,0.107638888888889,0.00577435312024353
000,0,000,0,0.121527777777778,0.00581240487062405
030,3,000,0,0.135416666666667,0.00585045662100457
000,0,030,3,0.149305555555556,0.00588850837138508
000,0,000,0,0.163194444444444,0.0059265601217656
000,0,000,0,0.177083333333333,0.00596461187214612
040,3,000,0,0.190972222222222,0.00600266362252664
040,3,040,3,0.204861111111111,0.00604071537290715
000,0,040,3,0.21875,0.00607876712328767
000,0,000,0,0.232638888888889,0.00611681887366819
000,0,000,0,0.246527777777778,0.00615487062404871
000,0,000,0,0.260416666666667,0.00619292237442922
340,3,000,0,0.274305555555556,0.00623097412480974
350,3,340,3,0.288194444444444,0.00626902587519026
000,0,350,3,0.302083333333333,0.00630707762557078
000,0,000,0,0.315972222222222,0.00634512937595129
000,0,000,0,0.329861111111111,0.00638318112633181
020,5,000,0,0.34375,0.00642123287671233
030,3,020,5,0.357638888888889,0.00645928462709285
020,3,030,3,0.371527777777778,0.00649733637747336
030,3,020,3,0.385416666666667,0.00653538812785388
